"","attr_importance"
"Raw_v",0.00433825363686615
"Delta_v",0.00654867561549293
"Theta_v",0.0177960040794553
"Alpha.1_v",0.00859419980873412
"Alpha.2_v",0.0138540141864203
"Beta.1_v",0.038189837302796
"Beta.2_v",9.47237769901743e-05
"Gamma1_v",-0.0116124536833244
"Gamma2_v",0.00865940167473811
"Raw",-0.010351324364562
"Delta",0.0383160363316729
"Theta",0.0520213639992761
"Alpha.1",0.0326430901831928
"Alpha.2",0.025335436899775
"Beta.1",0.0452791268166891
"Beta.2",0.000617379289339378
"Gamma1",0.0033499691058467
"Gamma2",0.0202304856306042
